Date,LiaisonId,TauxVenteGuichet,Prediction,ErreurAbsolue,JourSemaine,Seuil,EstAnomalie
2025-10-03,16482,0.390625,0.3886295609574512,0.0019954390425487856,4,0.1377235246086606,False
2025-10-04,16482,0.44117647,0.3945631229228117,0.046613351171579165,5,0.1377235246086606,False
2025-10-05,16482,0.45454547,0.3914503555569645,0.06309511253500022,6,0.1377235246086606,False
2025-10-09,16482,0.4909091,0.3957255235623879,0.09518357601646954,3,0.1377235246086606,False
2025-10-10,16482,0.23333333,0.35019765062286623,0.11686431629612215,4,0.1377235246086606,False
2025-10-11,16482,0.46354166,0.38096511149460555,0.08257654523795366,5,0.1377235246086606,False
2025-10-12,16482,0.4574468,0.3838116757083462,0.07363513787502785,6,0.1377235246086606,False
2025-10-13,16482,0.22916667,0.3654540920052332,0.1362874203715128,0,0.1377235246086606,False
2025-10-14,16482,0.3548387,0.3979667683752514,0.04312806927284968,1,0.1377235246086606,False
2025-10-15,16482,0.3497758,0.3688665141333278,0.019090722965114937,2,0.1377235246086606,False
2025-10-16,16482,0.38513514,0.3862179921043482,0.0010828481090631725,3,0.1377235246086606,False
2025-10-17,16482,0.33333334,0.3893865345275124,0.05605319126007158,4,0.1377235246086606,False
2025-10-18,16482,0.4,0.39739265476610797,0.002607351194356511,5,0.1377235246086606,False
2025-10-20,16482,0.44578314,0.39835555408606205,0.04742758418908444,0,0.1377235246086606,False
2025-10-22,16482,0.45454547,0.40452445364148765,0.050021014450477075,2,0.1377235246086606,False
2025-10-23,16482,0.45454547,0.38648786681882413,0.06805760127314059,3,0.1377235246086606,False
2025-10-24,16482,0.2764706,0.36723935108595607,0.09076874952727076,4,0.1377235246086606,False
2025-10-25,16482,0.4117647,0.4105568745060225,0.001207836635563786,5,0.1377235246086606,False
2025-10-26,16482,0.31937173,0.3560877460064703,0.036716015917282685,6,0.1377235246086606,False
2025-10-27,16482,0.2848837,0.3591084966233188,0.07422478886155426,0,0.1377235246086606,False
2025-10-28,16482,0.4318182,0.3918933649877158,0.03992482224907007,1,0.1377235246086606,False
2025-10-29,16482,0.48387095,0.38799917042203047,0.09587178289942644,2,0.1377235246086606,False
2025-10-30,16482,0.2857143,0.3504903142826331,0.06477601579592351,3,0.1377235246086606,False
2025-10-31,16482,0.31460676,0.2877562934344365,0.026850462537472086,4,0.1377235246086606,False
2025-09-06,16484,0.42356688,0.3968567764267719,0.026710101415177545,5,0.1377235246086606,False
2025-09-07,16484,0.3457249,0.39370404662541947,0.04797913612775406,6,0.1377235246086606,False
2025-09-08,16484,0.3512195,0.3772719592399391,0.0260524541682991,0,0.1377235246086606,False
2025-09-09,16484,0.34579438,0.39189643868228285,0.04610205897113173,1,0.1377235246086606,False
2025-09-10,16484,0.41904762,0.3794073870473717,0.039640236825385256,2,0.1377235246086606,False
2025-09-11,16484,0.4368932,0.3923368081248421,0.04455638678902202,3,0.1377235246086606,False
2025-09-12,16484,0.2970297,0.3720382800685408,0.07500857621302626,4,0.1377235246086606,False
2025-09-15,16484,0.49565217,0.390803735211598,0.10484843377758352,0,0.1377235246086606,False
2025-09-17,16484,0.44573644,0.40116769985057193,0.04456873818539303,2,0.1377235246086606,False
2025-09-19,16484,0.3846154,0.4013951185943575,0.016779727101513875,4,0.1377235246086606,False
2025-09-20,16484,0.4385965,0.3955716981743611,0.04302478887092698,5,0.1377235246086606,False
2025-09-21,16484,0.35227272,0.3971292218720047,0.044856502727183556,6,0.1377235246086606,False
2025-09-23,16484,0.3957219,0.3882435544092255,0.007478357974807726,1,0.1377235246086606,False
2025-09-25,16484,0.425,0.39333270580374,0.03166730611718893,3,0.1377235246086606,False
2025-09-26,16484,0.2912088,0.36805681659334893,0.0768480129396319,4,0.1377235246086606,False
2025-09-27,16484,0.3594041,0.40021791721189925,0.040813830145248864,5,0.1377235246086606,False
2025-09-29,16484,0.4489796,0.397526728222739,0.051452858140099755,0,0.1377235246086606,False
2025-09-30,16484,0.3015873,0.37055259760636566,0.06896528419274567,1,0.1377235246086606,False
2025-10-01,16484,0.48447204,0.4024834549493145,0.08198858141237986,2,0.1377235246086606,False
2025-10-02,16484,0.42045453,0.40119726173626513,0.019257270171770147,3,0.1377235246086606,False
2025-10-03,16484,0.34567901,0.39741406488249864,0.05173504996131029,4,0.1377235246086606,False
