TypeTitre,Date,Observe,Tendance,Saisonnalite,Residu
C,2023-12-16,0.014898506,0.01858910014647907,0.001959955651405362,-0.005650549804697005
C,2023-12-17,0.016929291,0.018970302702141756,-0.0015116865289002866,-0.0005293249845245811
C,2023-12-18,0.019339321,0.0195262707789398,0.0006296072924090697,-0.0008165568901707769
C,2023-12-19,0.016689168,0.020157422473026376,0.006644725968149254,-0.01011298015187185
C,2023-12-20,0.016539209,0.020895880584459334,-0.0038842086104499897,-0.00047246338302499996
C,2023-12-21,0.02341598,0.02150410295660713,-0.004240917531361302,0.006152795435345106
C,2023-12-22,0.026143895,0.021902720204717407,-0.0013204230126918027,0.005561598270129739
C,2023-12-23,0.024000656,0.022351715888608393,0.0004799177176448357,0.0011690222534555574
C,2023-12-24,0.035163343,0.022847225736763562,-0.0016294011612110497,0.013945518377175756
C,2023-12-25,0.12454804,0.023182083530112176,0.002019229087147873,0.09934672771314995
C,2023-12-26,0.0332918,0.023311310567565913,0.00934115934195099,0.0006393319007476847
C,2023-12-27,0.01922357,0.023245604484293223,-0.0017890460146912468,-0.0022329876459325423
C,2023-12-28,0.018404877,0.0231745948453208,-0.005611967511709118,0.0008422494796808226
C,2023-12-29,0.032963403,0.022933651415067324,-0.0006411012019705631,0.010670852356197216
C,2023-12-30,0.1294455,0.022145307594648368,-0.0010601178686966274,0.10836030349533121
C,2023-12-31,0.106934056,0.02130843134526825,-0.0021659157220619073,0.08779154006279066
C,2024-01-01,0.0272193,0.020697359133952025,0.004166604720784583,0.0023553353722626756
C,2024-01-02,0.013725345,0.02028560566884705,0.004710763719089341,-0.01127102436495999
C,2024-01-03,0.014084232,0.019620273878054352,0.002225475941556026,-0.007761517779860755
C,2024-01-04,0.012003114,0.018716790121018973,-0.0052944980920711275,-0.001419177581950204
C,2024-01-05,0.014798235,0.017967618000986486,-0.002799892037283337,-0.00036949081551169646
C,2024-01-06,0.014157084,0.017414608659765764,-0.0019174601628840584,-0.0013400646800553612
C,2024-01-07,0.015940776,0.017025220941732637,-0.001813916866493914,0.00072947201955555
C,2024-01-08,0.022341495,0.01675016205994344,0.00487333629274453,0.0007179970271175944
C,2024-01-09,0.11215932,0.016467796146590327,7.374373246582245e-05,0.09561777934291726
C,2024-01-10,0.02387177,0.016147553426153635,0.007518751015251843,0.00020546568720227268
C,2024-01-11,0.011872041,0.015799979100178715,-0.004092609773834215,0.00016467171282433593
C,2024-01-12,0.012457978,0.015455009556811781,-0.0029398709021455052,-5.716067429098644e-05
C,2024-01-13,0.013157041,0.015184970901640883,-0.002045993593644131,1.8063504078387124e-05
C,2024-01-14,0.010664693,0.014978488604138442,-0.0006393342615072988,-0.003674461262742323
C,2024-01-15,0.012416269,0.014829827254825454,0.003246402223386309,-0.005659960779340627
C,2024-01-16,0.01023698,0.014719296284088372,-0.004313443010058424,-0.0001688728805010111
C,2024-01-17,0.009736527,0.014624246813377447,0.007909493977535608,-0.012797214033434342
C,2024-01-18,0.012428513,0.014591216318970524,-0.0026032121050969634,0.00044050858288604416
